city,state_id,county_name,lat,lng,population
Fullerton,CA,Orange,33.8841,-117.9279,141278
Grand Junction,CO,Mesa,39.0877,-108.5673,141008
Carolina,PR,Carolina,18.4054,-65.9792,139051
Metairie,LA,Jefferson,29.9977,-90.1780,138995
Orange,CA,Orange,33.8038,-117.8218,138723
Warren,MI,Macomb,42.4934,-83.0270,138128
West Valley City,UT,Salt Lake,40.6886,-112.0123,137955
Hampton,VA,Hampton,37.0551,-76.3630,137334
Pasadena,CA,Los Angeles,34.1597,-118.1390,136462
Miramar,FL,Broward,25.9773,-80.3351,135986
Elizabeth,NJ,Union,40.6658,-74.1913,135887
Stamford,CT,Western Connecticut,41.1039,-73.5585,135806
Racine,WI,Racine,42.7274,-87.8135,135512
Kent,WA,King,47.3887,-122.2128,135015
Yakima,WA,Yakima,46.5923,-120.5496,134003
Coral Springs,FL,Broward,26.2702,-80.2591,133962
Sterling Heights,MI,Macomb,42.5809,-83.0305,133473
Billings,MT,Yellowstone,45.7891,-108.5526,133173
Bloomington,IL,McLean,40.4757,-88.9703,133107
Charleston,WV,Kanawha,38.3484,-81.6322,133045
Carrollton,TX,Dallas,32.9890,-96.8999,132741
Tyler,TX,Smith,32.3184,-95.3062,131037
Iowa City,IA,Johnson,41.6559,-91.5303,129897
Johnson City,TN,Washington,36.3406,-82.3806,129818
Santa Clara,CA,Santa Clara,37.3646,-121.9680,129239
Bellingham,WA,Whatcom,48.7548,-122.4690,128737
Norman,OK,Cleveland,35.2335,-97.3471,128714
Coeur d'Alene,ID,Kootenai,47.7040,-116.7936,128680
Fort Smith,AR,Sebastian,35.3495,-94.3695,128384
Lewisville,TX,Denton,33.0454,-96.9815,128313
Dover,DE,Kent,39.1610,-75.5202,128045
Yuba City,CA,Sutter,39.1357,-121.6383,127854
Lehigh Acres,FL,Lee,26.6120,-81.6388,127391
Abilene,TX,Taylor,32.4543,-99.7384,127130
Simi Valley,CA,Ventura,34.2663,-118.7490,126503
Pearland,TX,Brazoria,29.5581,-95.3218,125983
Kenosha,WI,Kenosha,42.5865,-87.8773,125807
Arecibo,PR,Arecibo,18.4491,-66.7387,125548
Meridian,ID,Ada,43.6116,-116.3977,124865
Round Rock,TX,Williamson,30.5270,-97.6642,124288
Waldorf,MD,Charles,38.6085,-76.9194,124186
Temple,TX,Bell,31.1068,-97.3891,123932
Lynchburg,VA,Lynchburg,37.4003,-79.1909,123662
Rochester,MN,Olmsted,44.0154,-92.4780,123252
Logan,UT,Cache,41.7399,-111.8422,122915
Arvada,CO,Jefferson,39.8320,-105.1510,122835
Clovis,CA,Fresno,36.8278,-119.6830,122719
Independence,MO,Jackson,39.0871,-94.3501,121944
Redding,CA,Shasta,40.5698,-122.3650,120849
Greenville,NC,Pitt,35.5943,-77.3760,120595
Duluth,MN,St. Louis,46.7756,-92.1393,120443
Berkeley,CA,Alameda,37.8722,-122.2760,120223
Boulder,CO,Boulder,40.0248,-105.2524,120121
Pueblo,CO,Pueblo,38.2701,-104.6114,120020
West Palm Beach,FL,Palm Beach,26.7469,-80.1320,119508
Burlington,VT,Chittenden,44.4876,-73.2316,118409
Seaside,CA,Monterey,36.6224,-121.8199,118398
Richardson,TX,Dallas,32.9716,-96.7093,118269
Cambridge,MA,Middlesex,42.3759,-71.1185,117794
Monroe,LA,Ouachita,32.5185,-92.0774,117507
North Charleston,SC,Charleston,32.9067,-80.0722,117460
Saginaw,MI,Saginaw,43.4199,-83.9501,117412
Clearwater,FL,Pinellas,27.9790,-82.7623,117075
The Woodlands,TX,Montgomery,30.1738,-95.5134,116916
Brandon,FL,Hillsborough,27.9367,-82.3000,116365
St. Cloud,MN,Stearns,45.5340,-94.1718,116347
West Jordan,UT,Salt Lake,40.6024,-112.0008,116277
Broken Arrow,OK,Tulsa,36.0380,-95.7806,115919
Harlingen,TX,Cameron,26.1916,-97.6977,115767
Kailua,HI,Honolulu,21.3920,-157.7396,115634
Westminster,CO,Adams,39.8837,-105.0624,115546
Gilroy,CA,Santa Clara,37.0046,-121.5854,115448
Richmond,CA,Contra Costa,37.9477,-122.3389,115396
Mandeville,LA,St. Tammany,30.3751,-90.0904,115292
Utica,NY,Oneida,43.0962,-75.2261,114961
Ponce,PR,Ponce,18.0127,-66.6212,114940
League City,TX,Galveston,29.4874,-95.1087,114885
Port Arthur,TX,Jefferson,29.8554,-93.9264,114860
Lowell,MA,Middlesex,42.6389,-71.3217,114799
East Los Angeles,CA,Los Angeles,34.0326,-118.1691,114617
Carlsbad,CA,San Diego,33.1246,-117.2834,114500
Elgin,IL,Kane,42.0383,-88.3240,114106
Waterloo,IA,Black Hawk,42.4918,-92.3522,113832
Leominster,MA,Worcester,42.5209,-71.7717,113462
Bend,OR,Deschutes,44.0563,-121.3095,113454
Sioux City,IA,Woodbury,42.4959,-96.3901,112823
Gresham,OR,Multnomah,45.5021,-122.4413,112818
Longview,TX,Gregg,32.5193,-94.7622,112687
Pompano Beach,FL,Broward,26.2428,-80.1312,112212
Downey,CA,Los Angeles,33.9379,-118.1311,111793
Murrieta,CA,Riverside,33.5719,-117.1909,111621
Idaho Falls,ID,Bonneville,43.4871,-112.0362,111295
Miami Gardens,FL,Miami-Dade,25.9433,-80.2426,111264
Everett,WA,Snohomish,47.9525,-122.1669,111083
Holland,MI,Ottawa,42.7677,-86.0984,110905
Costa Mesa,CA,Orange,33.6667,-117.9135,110538
Temecula,CA,Riverside,33.4928,-117.1315,110404
Jacksonville,NC,Onslow,34.7289,-77.3941,109958
San Buenaventura,CA,Ventura,34.2741,-119.2314,109900
Sugar Land,TX,Fort Bend,29.5935,-95.6358,109735
Chico,CA,Butte,39.7578,-121.8161,109411
South Fulton,GA,Fulton,33.6273,-84.5800,109157
Sparks,NV,Washoe,39.5736,-119.7161,109106
Eau Claire,WI,Eau Claire,44.8197,-91.4948,108477
Auburn,AL,Lee,32.6087,-85.4903,108327
Dearborn,MI,Wayne,42.3127,-83.2130,107846
Riverview,FL,Hillsborough,27.8227,-82.3023,107776
Allen,TX,Collin,33.1088,-96.6735,107684
West Covina,CA,Los Angeles,34.0555,-117.9113,107436
Centennial,CO,Arapahoe,39.5926,-104.8673,107386
Bloomington,IN,Monroe,39.1637,-86.5257,107262
Sandy Springs,GA,Fulton,33.9366,-84.3703,107198
El Monte,CA,Los Angeles,34.0739,-118.0291,107066
Hillsboro,OR,Washington,45.5273,-122.9360,107050
Menifee,CA,Riverside,33.6909,-117.1849,107020
Rio Rancho,NM,Sandoval,35.2873,-106.6982,106533
Davie,FL,Broward,26.0789,-80.2870,106412
Jurupa Valley,CA,Riverside,34.0010,-117.4706,106244
Columbia,MD,Howard,39.2004,-76.8590,105871
Inglewood,CA,Los Angeles,33.9566,-118.3444,105575
Spokane Valley,WA,Spokane,47.6626,-117.2346,105460
Renton,WA,King,47.4784,-122.1918,105279
San Tan Valley,AZ,Pinal,33.1786,-111.5629,105231
Burbank,CA,Los Angeles,34.1879,-118.3235,105165
Brockton,MA,Plymouth,42.0821,-71.0242,105080
El Cajon,CA,San Diego,32.8017,-116.9604,104909
Rialto,CA,San Bernardino,34.1175,-117.3892,103866
San Mateo,CA,San Mateo,37.5522,-122.3121,103555
Goodyear,AZ,Maricopa,33.2614,-112.3622,102891
Charlottesville,VA,Charlottesville,38.0375,-78.4855,102802
Lafayette,CO,Boulder,39.9946,-105.0998,102615
Lee's Summit,MO,Jackson,38.9171,-94.3816,102583
Edinburg,TX,Hidalgo,26.3196,-98.1597,102561
Daly City,CA,San Mateo,37.6862,-122.4685,102560
Wichita Falls,TX,Wichita,33.9072,-98.5291,102558
Bowling Green,KY,Warren,36.9716,-86.4378,102247
Longmont,CO,Boulder,40.1686,-105.1005,102183
Vacaville,CA,Solano,38.3587,-121.9673,102085
Highlands Ranch,CO,Douglas,39.5419,-104.9708,101437
Quincy,MA,Norfolk,42.2506,-71.0187,101361
Fishers,IN,Hamilton,39.9588,-85.9659,100918
Lynn,MA,Essex,42.4781,-70.9664,100905
Norwalk,CA,Los Angeles,33.9069,-118.0829,100713
Carmel,IN,Hamilton,39.9650,-86.1460,100501
Hesperia,CA,San Bernardino,34.3975,-117.3147,100141
St. Augustine,FL,St. Johns,29.8976,-81.3100,99936
Buckeye,AZ,Maricopa,33.4314,-112.6429,99844
San Angelo,TX,Tom Green,31.4424,-100.4504,99507
Federal Way,WA,King,47.3091,-122.3358,99232
Bismarck,ND,Burleigh,46.8143,-100.7694,99060
Boca Raton,FL,Palm Beach,26.3752,-80.1080,98833
New Braunfels,TX,Comal,29.6994,-98.1148,98700
Vista,CA,San Diego,33.1896,-117.2386,98646
Beaverton,OR,Washington,45.4779,-122.8168,97502
